Day,Temp,Rain,Ripe,Order,Peak,Harvest,Cold_ton,Actual_Cont40,Actual_Rem_ton,Actual_Truck5,Actual_Total_Vehicles,Price_Cont40,Price_Truck5,Pred_T7,Pred_T3,Pred_T1,Pred_Cold_ton,Frost_Cont40,Frost_Rem_ton,Frost_Truck5,Frost_Total_Vehicles,L1_Cont40,L2_Plan_Cont40,L2_Run_Cont40,L2_Penalty,L3_Spot_Cont40,Truck5_Run,Total_Cont40_Run,Total_Vehicles_Run,Baseline_Cont40,Baseline_Err,Baseline_C_over,Baseline_C_under,Baseline_Risk_Total,Frost_Err,Frost_C_over,Frost_C_under,Frost_Risk_Total
Ngày 01 (01/05),24.4,0.0,0.11,55.7,1,65.5,55.68,3,4.38,1,4,11700000,4550000,312.5,-32.8,-14.3,-12.16,-1,4.94,2,1,-1,0,0,0.0,4,1,3,4,,,0.0,0.0,0.0,0,0,0,0.0
Ngày 02 (02/05),26.7,0.0,0.12,32.3,0,20.0,16.0,0,16.0,4,4,9000000,3500000,312.5,76.2,68.7,54.96,3,3.66,1,4,2,1,1,0.0,0,4,3,7,,,0.0,0.0,0.0,3,8100000,0,8100000.0
Ngày 03 (03/05),26.8,0.0,0.14,37.2,0,20.0,16.0,0,16.0,4,4,9000000,3500000,312.5,90.4,82.9,66.32,3,15.02,4,7,2,1,1,0.0,0,4,3,7,,,0.0,0.0,0.0,3,8100000,0,8100000.0
Ngày 04 (04/05),26.2,0.0,0.15,35.2,0,31.1,24.88,1,7.78,2,3,9000000,3500000,312.5,58.9,51.4,41.12,2,6.92,2,4,1,1,1,0.0,0,2,2,4,1.0,0.0,0.0,0.0,0.0,1,2700000,0,2700000.0
Ngày 05 (05/05),26.5,15.0,0.16,42.4,0,48.0,38.4,2,4.2,1,3,9000000,3500000,312.5,41.5,33.5,26.8,1,9.7,3,4,1,0,0,0.0,1,1,2,3,0.3333333333333333,1.6666666666666667,0.0,10000000.0,10000000.0,0,0,0,0.0
Ngày 06 (06/05),28.6,0.0,0.17,52.3,0,60.2,48.16,2,13.96,3,5,9000000,3500000,312.5,170.4,162.9,130.32,7,10.62,3,10,5,2,2,0.0,0,3,7,10,1.0,1.0,0.0,6000000.0,6000000.0,5,13500000,0,13500000.0
Ngày 07 (07/05),27.1,0.0,0.19,88.6,1,96.3,81.85,4,13.45,3,7,11700000,4550000,312.5,107.0,125.7,106.84,6,4.24,1,7,4,2,2,0.0,0,3,6,9,1.6666666666666667,2.333333333333333,0.0,13999999.999999998,13999999.999999998,2,5400000,0,5400000.0
Ngày 08 (08/05),27.7,0.0,0.2,97.7,1,82.0,69.7,4,1.3,1,5,11700000,4550000,312.5,133.7,152.4,129.54,7,9.84,3,10,5,2,2,0.0,0,1,7,8,2.6666666666666665,1.3333333333333335,0.0,8000000.000000001,8000000.000000001,3,8100000,0,8100000.0
Ngày 09 (09/05),28.0,0.0,0.21,71.6,0,57.6,46.08,2,11.88,3,5,9000000,3500000,312.5,145.8,138.3,110.64,6,8.04,2,8,4,2,2,0.0,0,3,6,9,3.3333333333333335,1.3333333333333335,3600000.0000000005,0.0,3600000.0000000005,4,10800000,0,10800000.0
Ngày 10 (10/05),26.9,30.0,0.22,71.1,0,26.5,21.2,1,4.1,1,2,9000000,3500000,312.5,31.1,22.6,18.08,1,0.98,1,2,1,0,0,0.0,0,1,1,2,3.3333333333333335,2.3333333333333335,6300000.0,0.0,6300000.0,0,0,0,0.0
Ngày 11 (11/05),29.7,0.0,0.23,91.2,0,93.9,75.12,4,6.72,2,6,9000000,3500000,312.5,223.4,215.9,172.72,10,1.72,1,11,7,2,2,0.0,0,2,9,11,2.3333333333333335,1.6666666666666665,0.0,10000000.0,10000000.0,5,13500000,0,13500000.0
Ngày 12 (12/05),28.0,0.0,0.25,90.5,0,97.9,78.32,4,9.92,3,7,9000000,3500000,312.5,150.3,142.8,114.24,6,11.64,3,9,4,2,2,0.0,0,3,6,9,2.3333333333333335,1.6666666666666665,0.0,10000000.0,10000000.0,2,5400000,0,5400000.0
Ngày 13 (13/05),30.1,0.0,0.26,100.1,0,110.2,88.16,5,2.66,1,6,9000000,3500000,312.5,249.7,242.2,193.76,11,5.66,2,13,8,3,3,0.0,0,1,11,12,3.0,2.0,0.0,12000000.0,12000000.0,6,16200000,0,16200000.0
Ngày 14 (14/05),29.5,0.0,0.27,162.7,1,147.0,124.95,7,5.25,2,9,11700000,4550000,312.5,218.2,236.9,201.36,11,13.26,3,14,8,3,3,0.0,0,2,11,13,4.333333333333333,2.666666666666667,0.0,16000000.000000002,16000000.000000002,4,10800000,0,10800000.0
Ngày 15 (15/05),28.6,0.0,0.28,159.7,1,173.4,147.39,8,10.59,3,11,11700000,4550000,312.5,172.1,190.8,162.18,9,8.28,2,11,6,2,2,0.0,0,3,8,11,5.333333333333333,2.666666666666667,0.0,16000000.000000002,16000000.000000002,0,0,0,0.0
Ngày 16 (16/05),27.7,0.0,0.3,125.7,0,124.7,99.76,5,14.26,4,9,9000000,3500000,312.5,137.9,130.3,104.24,6,1.64,1,7,4,2,2,0.0,0,4,6,10,6.666666666666667,1.666666666666667,4500000.000000001,0.0,4500000.000000001,1,2700000,0,2700000.0
Ngày 17 (17/05),26.9,0.0,0.31,150.1,0,152.4,121.92,7,2.22,1,8,9000000,3500000,312.5,96.7,89.1,71.28,4,2.88,1,5,3,1,1,0.0,3,1,7,8,6.666666666666667,0.33333333333333304,0.0,1999999.9999999981,1999999.9999999981,0,0,0,0.0
Ngày 18 (18/05),28.5,10.0,0.32,158.8,0,167.6,134.08,7,14.38,4,11,9000000,3500000,312.5,152.1,144.3,115.44,6,12.84,3,9,4,2,2,0.0,1,4,7,11,6.666666666666667,0.33333333333333304,0.0,1999999.9999999981,1999999.9999999981,0,0,0,0.0
Ngày 19 (19/05),30.0,0.0,0.33,154.4,0,175.2,140.16,8,3.36,1,9,9000000,3500000,312.5,242.1,234.6,187.68,10,16.68,4,14,7,2,2,0.0,0,1,9,10,6.333333333333333,1.666666666666667,0.0,10000000.000000002,10000000.000000002,1,2700000,0,2700000.0
Ngày 20 (20/05),30.7,0.0,0.35,190.4,0,196.8,157.44,9,3.54,1,10,9000000,3500000,312.4,285.3,277.9,222.32,13,0.02,1,14,9,3,3,0.0,0,1,12,13,7.333333333333333,1.666666666666667,0.0,10000000.000000002,10000000.000000002,3,8100000,0,8100000.0
Ngày 21 (21/05),30.3,0.0,0.36,198.6,1,251.1,213.44,12,8.24,2,14,11700000,4550000,312.4,263.5,282.2,239.87,14,0.47,1,15,10,3,3,0.0,0,2,13,15,8.0,4.0,0.0,24000000.0,24000000.0,1,2700000,0,2700000.0
Ngày 22 (22/05),29.9,25.0,0.37,225.4,1,183.6,156.06,9,2.16,1,10,11700000,4550000,312.4,192.6,210.5,178.92,10,7.92,2,12,7,2,0,4680000.0,2,1,9,10,9.666666666666666,0.6666666666666661,1799999.9999999984,0.0,1799999.9999999984,0,0,0,4680000.0
Ngày 23 (23/05),30.4,0.0,0.38,217.2,0,219.0,175.2,10,4.2,1,11,9000000,3500000,312.4,263.5,256.1,204.88,11,16.78,4,15,8,3,3,0.0,0,1,11,12,10.0,0.0,0.0,0.0,0.0,1,2700000,0,2700000.0
Ngày 24 (24/05),30.7,0.0,0.39,256.5,0,233.6,186.88,10,15.88,4,14,9000000,3500000,312.4,275.7,268.2,214.56,12,9.36,2,14,8,3,3,0.0,0,4,11,15,10.333333333333334,0.3333333333333339,900000.0000000016,0.0,900000.0000000016,1,2700000,0,2700000.0
Ngày 25 (25/05),29.2,0.0,0.41,260.0,0,246.4,197.12,11,9.02,2,13,9000000,3500000,312.4,212.3,204.8,163.84,9,9.94,3,12,6,2,2,0.0,3,2,11,13,9.666666666666666,1.333333333333334,0.0,8000000.000000004,8000000.000000004,0,0,0,0.0
Ngày 26 (26/05),30.2,0.0,0.42,263.6,0,287.2,229.76,13,7.46,2,15,9000000,3500000,312.4,258.4,250.9,200.72,11,12.62,3,14,8,3,3,0.0,2,2,13,15,10.333333333333334,2.666666666666666,0.0,15999999.999999996,15999999.999999996,0,0,0,0.0
Ngày 27 (27/05),29.4,0.0,0.43,243.7,0,293.9,235.12,13,12.82,3,16,9000000,3500000,312.4,217.2,209.6,167.68,9,13.78,3,12,6,2,2,0.0,5,3,13,16,11.333333333333334,1.666666666666666,0.0,9999999.999999996,9999999.999999996,0,0,0,0.0
Ngày 28 (28/05),31.0,15.0,0.44,283.6,1,317.5,269.88,15,13.38,3,18,11700000,4550000,312.4,262.8,281.0,238.85,13,16.55,4,17,9,3,3,0.0,3,3,15,18,12.333333333333334,2.666666666666666,0.0,15999999.999999996,15999999.999999996,0,0,0,0.0
Ngày 29 (29/05),30.2,0.0,0.46,356.2,1,340.5,289.42,16,15.82,4,20,11700000,4550000,312.4,262.9,281.5,239.28,13,16.98,4,17,9,3,3,0.0,4,4,16,20,13.666666666666666,2.333333333333334,0.0,14000000.000000004,14000000.000000004,0,0,0,0.0
Ngày 30 (30/05),30.9,0.0,0.47,334.0,0,329.3,263.44,15,6.94,2,17,9000000,3500000,312.4,294.4,286.9,229.52,13,7.22,2,15,9,3,3,0.0,3,2,15,17,14.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 31 (31/05),32.1,0.0,0.48,288.5,0,353.7,282.96,16,9.36,2,18,9000000,3500000,312.4,350.1,342.7,274.16,16,0.56,1,17,11,4,4,0.0,1,2,16,18,15.333333333333334,0.6666666666666661,0.0,3999999.9999999963,3999999.9999999963,0,0,0,0.0
Ngày 32 (01/06),36.0,0.0,0.52,599.4,0,650.7,520.56,30,7.56,2,32,11700000,4550000,312.4,572.0,564.8,451.84,26,7.24,2,28,18,6,6,0.0,6,2,30,32,15.666666666666666,14.333333333333334,0.0,86000000.0,86000000.0,0,0,0,0.0
Ngày 33 (02/06),33.4,0.0,0.53,600.3,0,530.1,424.08,24,13.68,3,27,9000000,3500000,312.4,443.5,436.3,349.04,20,7.04,2,22,14,4,4,0.0,6,3,24,27,20.333333333333332,3.666666666666668,0.0,22000000.000000007,22000000.000000007,0,0,0,0.0
Ngày 34 (03/06),34.9,0.0,0.55,542.2,0,599.9,479.92,28,1.12,1,29,11700000,4550000,312.4,525.6,518.4,414.72,24,4.32,1,25,17,5,5,0.0,6,1,28,29,23.333333333333332,4.666666666666668,0.0,28000000.000000007,28000000.000000007,0,0,0,0.0
Ngày 35 (04/06),35.8,0.0,0.57,702.4,1,721.6,613.36,35,14.86,4,39,11700000,4550000,312.4,578.5,597.6,507.96,29,12.06,3,32,20,6,6,0.0,9,4,35,39,27.333333333333332,7.666666666666668,0.0,46000000.00000001,46000000.00000001,0,0,0,0.0
Ngày 36 (05/06),35.2,15.0,0.58,674.7,1,671.3,570.6,33,6.3,2,35,11700000,4550000,312.4,517.5,536.1,455.68,26,11.08,3,29,18,6,6,0.0,9,2,33,35,29.0,4.0,0.0,24000000.0,24000000.0,0,0,0,0.0
Ngày 37 (06/06),35.5,0.0,0.6,619.5,0,661.3,529.04,30,16.04,4,34,11700000,4550000,312.4,570.9,563.8,451.04,26,6.44,2,28,18,6,6,0.0,6,4,30,34,32.0,2.0,5400000.0,0.0,5400000.0,0,0,0,0.0
Ngày 38 (07/06),33.5,0.0,0.62,576.7,0,639.8,511.84,29,15.94,4,33,9000000,3500000,312.4,483.3,476.2,380.96,22,4.76,2,24,15,5,5,0.0,9,4,29,33,32.666666666666664,3.6666666666666643,9899999.999999994,0.0,9899999.999999994,0,0,0,0.0
Ngày 39 (08/06),33.2,0.0,0.63,618.6,0,645.1,516.08,30,3.08,1,31,9000000,3500000,312.4,466.4,459.2,367.36,21,8.26,2,23,15,5,5,0.0,10,1,30,31,30.666666666666668,0.6666666666666679,1800000.0000000033,0.0,1800000.0000000033,0,0,0,0.0
Ngày 40 (09/06),35.9,0.0,0.65,612.3,0,702.7,562.16,32,14.96,4,36,11700000,4550000,312.4,606.5,599.5,479.6,28,0.8,1,29,20,6,6,0.0,6,4,32,36,29.666666666666668,2.333333333333332,0.0,13999999.999999993,13999999.999999993,0,0,0,0.0
Ngày 41 (10/06),37.7,0.0,0.67,628.4,0,754.5,603.6,35,5.1,2,37,11700000,4550000,312.4,703.1,696.2,556.96,32,9.76,3,35,22,7,7,0.0,6,2,35,37,30.333333333333332,4.666666666666668,0.0,28000000.000000007,28000000.000000007,0,0,0,0.0
Ngày 42 (11/06),38.0,25.0,0.68,682.1,1,389.2,330.82,19,5.92,2,21,11700000,4550000,312.4,666.1,684.6,581.91,34,0.51,1,35,24,7,0,16380000.000000002,0,2,24,26,32.333333333333336,13.333333333333336,36000000.00000001,0.0,36000000.00000001,5,13500000,0,29880000.0
Ngày 43 (12/06),36.1,0.0,0.7,789.0,1,791.2,672.52,39,5.62,2,41,11700000,4550000,312.4,632.5,651.7,553.95,32,6.75,2,34,22,7,7,0.0,10,2,39,41,28.666666666666668,10.333333333333332,0.0,61999999.99999999,61999999.99999999,0,0,0,0.0
Ngày 44 (13/06),34.7,0.0,0.72,683.4,0,652.3,521.84,30,8.84,2,32,11700000,4550000,312.4,574.0,567.0,453.6,26,9.0,2,28,18,6,6,0.0,6,2,30,32,31.0,1.0,2700000.0,0.0,2700000.0,0,0,0,0.0
Ngày 45 (14/06),37.8,0.0,0.73,710.8,0,735.9,588.72,34,7.32,2,36,11700000,4550000,312.4,721.8,714.9,571.92,33,7.62,2,35,23,7,7,0.0,4,2,34,36,29.333333333333332,4.666666666666668,0.0,28000000.000000007,28000000.000000007,0,0,0,0.0
Ngày 46 (15/06),34.3,0.0,0.75,741.0,0,691.6,553.28,32,6.08,2,34,11700000,4550000,312.4,561.5,554.6,443.68,25,16.18,4,29,18,5,5,0.0,9,2,32,34,34.333333333333336,2.3333333333333357,6300000.0000000065,0.0,6300000.0000000065,0,0,0,0.0
Ngày 47 (16/06),30.0,65.0,0.77,662.4,0,170.8,136.64,7,16.94,4,11,9000000,3500000,312.4,234.6,225.6,180.48,10,9.48,2,12,7,2,0,3600000.0,0,4,7,11,32.0,25.0,67500000.0,0.0,67500000.0,0,0,0,3600000.0
Ngày 48 (17/06),34.7,0.0,0.78,624.8,0,709.6,567.68,33,3.38,1,34,11700000,4550000,312.4,587.8,580.9,464.72,27,3.02,1,28,19,6,6,0.0,8,1,33,34,24.333333333333332,8.666666666666668,0.0,52000000.00000001,52000000.00000001,0,0,0,0.0
Ngày 49 (18/06),33.7,0.0,0.8,747.0,1,777.4,660.79,38,10.99,3,41,11700000,4550000,312.4,548.7,568.0,482.8,28,4.0,1,29,20,6,6,0.0,12,3,38,41,24.0,14.0,0.0,84000000.0,84000000.0,0,0,0,0.0
Ngày 50 (19/06),33.8,0.0,0.82,694.1,1,711.1,604.44,35,5.94,2,37,11700000,4550000,312.4,562.9,582.2,494.87,28,16.07,4,32,20,6,6,0.0,9,2,35,37,26.0,9.0,0.0,54000000.0,54000000.0,0,0,0,0.0
Ngày 51 (20/06),37.9,25.0,0.83,647.8,0,361.2,288.96,16,15.36,4,20,11700000,4550000,312.4,710.0,702.5,562.0,32,14.8,4,36,22,7,0,16380000.000000002,0,4,22,26,35.333333333333336,19.333333333333336,52200000.00000001,0.0,52200000.00000001,6,16200000,0,32580000.0
Ngày 52 (21/06),35.3,0.0,0.85,622.0,0,697.9,558.32,32,11.12,3,35,11700000,4550000,312.4,642.5,635.7,508.56,29,12.66,3,32,20,6,6,0.0,6,3,32,35,29.666666666666668,2.333333333333332,0.0,13999999.999999993,13999999.999999993,0,0,0,0.0
Ngày 53 (22/06),35.9,0.0,0.87,618.8,0,689.3,551.44,32,4.24,1,33,11700000,4550000,312.4,680.9,674.2,539.36,31,9.26,2,33,22,7,7,0.0,3,1,32,33,27.666666666666668,4.333333333333332,0.0,25999999.999999993,25999999.999999993,0,0,0,0.0
Ngày 54 (23/06),33.4,0.0,0.88,644.9,0,650.1,520.08,30,7.08,2,32,9000000,3500000,312.4,557.3,550.5,440.4,25,12.9,3,28,18,5,5,0.0,7,2,30,32,26.666666666666668,3.333333333333332,0.0,19999999.999999993,19999999.999999993,0,0,0,0.0
Ngày 55 (24/06),33.9,0.0,0.9,610.8,0,599.7,479.76,28,0.96,1,29,9000000,3500000,312.4,590.9,584.2,467.36,27,5.66,2,29,19,6,6,0.0,3,1,28,29,31.333333333333332,3.333333333333332,8999999.999999996,0.0,8999999.999999996,0,0,0,0.0
Ngày 56 (25/06),30.0,65.0,0.92,750.9,1,169.3,143.9,8,7.1,2,10,11700000,4550000,312.4,283.4,300.7,255.59,14,16.19,4,18,10,3,0,7020000.000000001,0,2,10,12,30.0,22.0,59400000.0,0.0,59400000.0,2,5400000,0,12420000.0
Ngày 57 (26/06),33.8,0.0,0.93,670.0,1,688.2,584.97,34,3.57,1,35,11700000,4550000,312.4,593.0,612.4,520.54,30,7.54,2,32,21,6,6,0.0,7,1,34,35,22.0,12.0,0.0,72000000.0,72000000.0,0,0,0,0.0
Ngày 58 (27/06),35.1,0.0,0.95,632.4,0,613.4,490.72,28,11.92,3,31,11700000,4550000,312.4,665.3,658.7,526.96,30,13.96,3,33,21,6,6,0.0,1,3,28,31,23.333333333333332,4.666666666666668,0.0,28000000.000000007,28000000.000000007,0,0,0,0.0
Ngày 59 (28/06),37.2,0.0,0.97,527.4,0,660.6,528.48,30,15.48,4,34,11700000,4550000,312.4,776.4,769.9,615.92,36,0.32,1,37,25,8,8,0.0,0,4,33,37,23.333333333333332,6.666666666666668,0.0,40000000.00000001,40000000.00000001,3,8100000,0,8100000.0
Ngày 60 (29/06),34.5,0.0,0.98,598.6,0,579.4,463.52,27,1.82,1,28,11700000,4550000,312.4,643.1,636.5,509.2,29,13.3,3,32,20,6,6,0.0,1,1,27,28,30.666666666666668,3.666666666666668,9900000.000000004,0.0,9900000.000000004,0,0,0,0.0
Ngày 61 (30/06),34.5,0.0,1.0,560.6,0,549.7,439.76,25,12.26,3,28,11700000,4550000,312.4,652.5,645.9,516.72,30,3.72,1,31,21,6,6,0.0,0,3,27,30,28.333333333333332,3.333333333333332,8999999.999999996,0.0,8999999.999999996,2,5400000,0,5400000.0
Ngày 62 (01/07),30.2,0.0,1.0,371.7,0,374.8,299.84,17,9.14,2,19,9000000,3500000,312.4,429.9,423.1,338.48,19,13.58,3,22,13,4,4,0.0,0,2,17,19,27.333333333333332,10.333333333333332,27899999.999999996,0.0,27899999.999999996,0,0,0,0.0
Ngày 63 (02/07),30.5,0.0,1.0,357.6,1,383.8,326.23,19,1.33,1,20,11700000,4550000,312.4,430.3,449.6,382.16,22,5.96,2,24,15,5,5,0.0,0,1,20,21,23.0,4.0,10800000.0,0.0,10800000.0,1,2700000,0,2700000.0
Ngày 64 (03/07),29.3,25.0,1.0,314.7,1,283.2,240.72,14,1.32,1,15,11700000,4550000,312.4,308.8,327.2,278.12,16,4.52,1,17,11,4,0,9360000.0,3,1,14,15,20.333333333333332,6.333333333333332,17099999.999999996,0.0,17099999.999999996,0,0,0,9360000.0
Ngày 65 (04/07),32.5,0.0,1.0,371.6,0,333.8,267.04,15,10.54,3,18,9000000,3500000,312.4,498.9,491.9,393.52,23,0.22,1,24,16,5,5,0.0,0,3,21,24,16.666666666666668,1.6666666666666679,4500000.000000003,0.0,4500000.000000003,6,16200000,0,16200000.0
Ngày 66 (05/07),29.4,0.0,1.0,307.5,0,321.5,257.2,15,0.7,1,16,9000000,3500000,312.4,334.5,327.3,261.84,15,5.34,2,17,10,3,3,0.0,2,1,15,16,16.0,1.0,2700000.0,0.0,2700000.0,0,0,0,0.0
Ngày 67 (06/07),27.5,75.0,1.0,339.7,0,146.3,117.04,6,14.44,4,10,9000000,3500000,312.4,80.8,71.1,56.88,3,5.58,2,5,2,1,0,1800000.0,4,4,6,10,14.666666666666666,8.666666666666666,23400000.0,0.0,23400000.0,0,0,0,1800000.0
Ngày 68 (07/07),28.1,0.0,1.0,245.3,0,277.4,221.92,12,16.72,4,16,9000000,3500000,312.4,243.2,235.8,188.64,11,0.54,1,12,8,3,3,0.0,1,4,12,16,12.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Ngày 69 (08/07),28.6,0.0,1.0,242.4,0,266.9,213.52,12,8.32,2,14,9000000,3500000,312.4,253.2,245.8,196.64,11,8.54,2,13,8,3,3,0.0,1,2,12,14,11.0,1.0,0.0,6000000.0,6000000.0,0,0,0,0.0
Ngày 70 (09/07),31.1,0.0,1.0,260.7,1,298.0,253.3,14,13.9,3,17,11700000,4550000,312.4,360.2,378.9,322.06,18,14.26,4,22,13,4,4,0.0,0,3,17,20,10.0,4.0,0.0,24000000.0,24000000.0,3,8100000,0,8100000.0
Ngày 71 (10/07),29.0,15.0,1.0,284.8,1,270.1,229.58,13,7.28,2,15,11700000,4550000,312.4,214.8,232.9,197.96,11,9.86,3,14,8,3,3,0.0,2,2,13,15,12.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 72 (11/07),32.2,0.0,1.0,235.6,0,235.9,188.72,11,0.62,1,12,9000000,3500000,312.4,385.2,377.6,302.08,17,11.38,3,20,12,4,4,0.0,0,1,16,17,13.0,2.0,5400000.0,0.0,5400000.0,5,13500000,0,13500000.0
Ngày 73 (12/07),29.1,0.0,1.0,215.4,0,223.7,178.96,10,7.96,2,12,9000000,3500000,312.4,220.8,213.0,170.4,9,16.5,4,13,6,2,2,0.0,2,2,10,12,12.666666666666666,2.666666666666666,7199999.999999998,0.0,7199999.999999998,0,0,0,0.0
